,movie_name,release_year,imdb,metascore,votes
829,Men in Black: International,2019,5.6,38,82512
830,Murder Mystery,2019,6.0,38,78931
831,Yesterday,2019,6.9,55,74233
832,Zombieland: Double Tap,2019,6.9,55,68025
833,Long Shot,2019,6.9,67,66010
834,Pet Sematary,2019,5.8,57,65403
835,Avengers: Endgame,2019,8.5,78,647448
836,Joker,2019,8.6,59,613582
837,Captain Marvel,2019,6.9,64,389361
838,Once Upon a Time... in Hollywood,2019,7.8,83,337740
839,Spider-Man: Far from Home,2019,7.6,69,255495
840,Star Wars: The Rise Of Skywalker,2019,6.9,54,230381
841,John Wick: Chapter 3 - Parabellum,2019,7.5,73,212957
842,Shazam!,2019,7.1,71,207938
843,The Irishman,2019,8.0,94,201640
844,Alita: Battle Angel,2019,7.3,53,183178
845,Glass,2019,6.7,43,178527
846,Us,2019,6.9,81,176572
847,Aladdin,2019,7.0,53,172778
848,The Lion King,2019,7.0,55,156151
849,Parasite,2019,8.6,96,150809
850,It Chapter Two,2019,6.7,58,148900
851,Toy Story 4,2019,7.9,84,146504
852,El Camino: A Breaking Bad Movie,2019,7.4,72,145601
853,Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,128281
854,Ad Astra,2019,6.7,80,126546
855,Marriage Story,2019,8.1,93,125331
856,X-Men: Dark Phoenix,2019,5.8,43,120646
857,Knives Out,2019,8.1,82,119832
858,Pokémon Detective Pikachu,2019,6.6,53,110941
859,Godzilla: King of the Monsters,2019,6.1,48,104618
860,Midsommar,2019,7.2,72,101833
861,Ford v Ferrari,2019,8.3,81,90703
862,Rocketman,2019,7.4,69,89805
863,Triple Frontier,2019,6.5,61,89085
864,6 Underground,2019,6.1,41,85813
865,How to Train Your Dragon: The Hidden World,2019,7.5,71,84343
866,Men in Black: International,2019,5.6,38,82512
867,Murder Mystery,2019,6.0,38,78931
868,Yesterday,2019,6.9,55,74233
869,Zombieland: Double Tap,2019,6.9,55,68025
870,Long Shot,2019,6.9,67,66010
871,Pet Sematary,2019,5.8,57,65403
